year,city,country,avg_temp
1744,London,United Kingdom,10.34
1745,London,United Kingdom,4.13
1746,London,United Kingdom,
1747,London,United Kingdom,
1748,London,United Kingdom,
1749,London,United Kingdom,
1750,London,United Kingdom,10.25
1751,London,United Kingdom,9.99
1752,London,United Kingdom,6.54
1753,London,United Kingdom,9.42
1754,London,United Kingdom,9.20
1755,London,United Kingdom,8.95
1756,London,United Kingdom,9.42
1757,London,United Kingdom,9.34
1758,London,United Kingdom,8.85
1759,London,United Kingdom,9.80
1760,London,United Kingdom,9.26
1761,London,United Kingdom,9.69
1762,London,United Kingdom,8.99
1763,London,United Kingdom,8.75
1764,London,United Kingdom,9.14
1765,London,United Kingdom,8.95
1766,London,United Kingdom,9.07
1767,London,United Kingdom,8.98
1768,London,United Kingdom,9.12
1769,London,United Kingdom,9.04
1770,London,United Kingdom,9.03
1771,London,United Kingdom,8.78
1772,London,United Kingdom,9.36
1773,London,United Kingdom,9.33
1774,London,United Kingdom,9.10
1775,London,United Kingdom,10.10
1776,London,United Kingdom,9.21
1777,London,United Kingdom,9.25
1778,London,United Kingdom,9.80
1779,London,United Kingdom,10.76
1780,London,United Kingdom,9.67
1781,London,United Kingdom,10.41
1782,London,United Kingdom,8.44
1783,London,United Kingdom,9.97
1784,London,United Kingdom,8.29
1785,London,United Kingdom,8.54
1786,London,United Kingdom,8.35
1787,London,United Kingdom,9.53
1788,London,United Kingdom,9.39
1789,London,United Kingdom,9.12
1790,London,United Kingdom,9.67
1791,London,United Kingdom,9.59
1792,London,United Kingdom,9.56
1793,London,United Kingdom,9.59
1794,London,United Kingdom,10.00
1795,London,United Kingdom,9.19
1796,London,United Kingdom,9.50
1797,London,United Kingdom,9.62
1798,London,United Kingdom,9.83
1799,London,United Kingdom,7.94
1800,London,United Kingdom,9.32
1801,London,United Kingdom,9.68
1802,London,United Kingdom,9.31
1803,London,United Kingdom,8.79
1804,London,United Kingdom,9.37
1805,London,United Kingdom,8.56
1806,London,United Kingdom,9.87
1807,London,United Kingdom,9.03
1808,London,United Kingdom,8.91
1809,London,United Kingdom,8.99
1810,London,United Kingdom,8.97
1811,London,United Kingdom,10.10
1812,London,United Kingdom,8.58
1813,London,United Kingdom,9.13
1814,London,United Kingdom,7.93
1815,London,United Kingdom,8.99
1816,London,United Kingdom,7.98
1817,London,United Kingdom,8.95
1818,London,United Kingdom,9.88
1819,London,United Kingdom,9.58
1820,London,United Kingdom,8.61
1821,London,United Kingdom,9.63
1822,London,United Kingdom,10.36
1823,London,United Kingdom,8.80
1824,London,United Kingdom,9.65
1825,London,United Kingdom,9.98
1826,London,United Kingdom,10.12
1827,London,United Kingdom,9.37
1828,London,United Kingdom,10.10
1829,London,United Kingdom,7.95
1830,London,United Kingdom,8.78
1831,London,United Kingdom,10.01
1832,London,United Kingdom,9.24
1833,London,United Kingdom,9.40
1834,London,United Kingdom,10.59
1835,London,United Kingdom,9.48
1836,London,United Kingdom,9.04
1837,London,United Kingdom,8.85
1838,London,United Kingdom,8.05
1839,London,United Kingdom,8.89
1840,London,United Kingdom,8.68
1841,London,United Kingdom,9.12
1842,London,United Kingdom,9.43
1843,London,United Kingdom,9.40
1844,London,United Kingdom,8.85
1845,London,United Kingdom,8.46
1846,London,United Kingdom,10.48
1847,London,United Kingdom,9.24
1848,London,United Kingdom,9.52
1849,London,United Kingdom,9.42
1850,London,United Kingdom,9.06
1851,London,United Kingdom,9.17
1852,London,United Kingdom,9.96
1853,London,United Kingdom,8.44
1854,London,United Kingdom,9.30
1855,London,United Kingdom,8.03
1856,London,United Kingdom,9.17
1857,London,United Kingdom,10.21
1858,London,United Kingdom,9.20
1859,London,United Kingdom,9.97
1860,London,United Kingdom,8.17
1861,London,United Kingdom,9.42
1862,London,United Kingdom,9.56
1863,London,United Kingdom,9.90
1864,London,United Kingdom,8.74
1865,London,United Kingdom,9.82
1866,London,United Kingdom,9.69
1867,London,United Kingdom,9.06
1868,London,United Kingdom,10.50
1869,London,United Kingdom,9.46
1870,London,United Kingdom,8.94
1871,London,United Kingdom,8.97
1872,London,United Kingdom,10.07
1873,London,United Kingdom,9.26
1874,London,United Kingdom,9.37
1875,London,United Kingdom,9.43
1876,London,United Kingdom,9.75
1877,London,United Kingdom,9.43
1878,London,United Kingdom,9.47
1879,London,United Kingdom,7.62
1880,London,United Kingdom,9.35
1881,London,United Kingdom,8.71
1882,London,United Kingdom,9.43
1883,London,United Kingdom,9.21
1884,London,United Kingdom,9.86
1885,London,United Kingdom,8.68
1886,London,United Kingdom,8.80
1887,London,United Kingdom,8.39
1888,London,United Kingdom,8.31
1889,London,United Kingdom,8.91
1890,London,United Kingdom,8.86
1891,London,United Kingdom,8.65
1892,London,United Kingdom,8.35
1893,London,United Kingdom,10.05
1894,London,United Kingdom,9.42
1895,London,United Kingdom,8.91
1896,London,United Kingdom,9.41
1897,London,United Kingdom,9.50
1898,London,United Kingdom,10.08
1899,London,United Kingdom,9.85
1900,London,United Kingdom,9.73
1901,London,United Kingdom,9.20
1902,London,United Kingdom,8.95
1903,London,United Kingdom,9.45
1904,London,United Kingdom,9.18
1905,London,United Kingdom,9.25
1906,London,United Kingdom,9.62
1907,London,United Kingdom,9.03
1908,London,United Kingdom,9.31
1909,London,United Kingdom,8.70
1910,London,United Kingdom,9.39
1911,London,United Kingdom,10.22
1912,London,United Kingdom,9.57
1913,London,United Kingdom,9.89
1914,London,United Kingdom,9.98
1915,London,United Kingdom,9.07
1916,London,United Kingdom,9.28
1917,London,United Kingdom,8.65
1918,London,United Kingdom,9.60
1919,London,United Kingdom,8.48
1920,London,United Kingdom,9.67
1921,London,United Kingdom,10.60
1922,London,United Kingdom,8.81
1923,London,United Kingdom,9.17
1924,London,United Kingdom,9.34
1925,London,United Kingdom,9.31
1926,London,United Kingdom,9.83
1927,London,United Kingdom,9.25
1928,London,United Kingdom,9.69
1929,London,United Kingdom,9.09
1930,London,United Kingdom,9.70
1931,London,United Kingdom,9.12
1932,London,United Kingdom,9.57
1933,London,United Kingdom,9.96
1934,London,United Kingdom,10.11
1935,London,United Kingdom,9.90
1936,London,United Kingdom,9.43
1937,London,United Kingdom,9.69
1938,London,United Kingdom,10.18
1939,London,United Kingdom,9.77
1940,London,United Kingdom,9.06
1941,London,United Kingdom,9.09
1942,London,United Kingdom,9.10
1943,London,United Kingdom,10.19
1944,London,United Kingdom,9.62
1945,London,United Kingdom,10.39
1946,London,United Kingdom,9.58
1947,London,United Kingdom,9.75
1948,London,United Kingdom,10.16
1949,London,United Kingdom,10.63
1950,London,United Kingdom,9.75
1951,London,United Kingdom,9.52
1952,London,United Kingdom,9.35
1953,London,United Kingdom,9.95
1954,London,United Kingdom,9.35
1955,London,United Kingdom,9.39
1956,London,United Kingdom,8.87
1957,London,United Kingdom,10.26
1958,London,United Kingdom,9.66
1959,London,United Kingdom,10.63
1960,London,United Kingdom,9.88
1961,London,United Kingdom,10.20
1962,London,United Kingdom,8.65
1963,London,United Kingdom,8.48
1964,London,United Kingdom,9.53
1965,London,United Kingdom,9.03
1966,London,United Kingdom,9.59
1967,London,United Kingdom,9.81
1968,London,United Kingdom,9.48
1969,London,United Kingdom,9.47
1970,London,United Kingdom,9.69
1971,London,United Kingdom,9.89
1972,London,United Kingdom,9.41
1973,London,United Kingdom,9.75
1974,London,United Kingdom,9.70
1975,London,United Kingdom,9.99
1976,London,United Kingdom,10.28
1977,London,United Kingdom,9.69
1978,London,United Kingdom,9.41
1979,London,United Kingdom,9.06
1980,London,United Kingdom,9.54
1981,London,United Kingdom,9.38
1982,London,United Kingdom,10.07
1983,London,United Kingdom,10.12
1984,London,United Kingdom,9.75
1985,London,United Kingdom,9.00
1986,London,United Kingdom,8.94
1987,London,United Kingdom,9.22
1988,London,United Kingdom,9.82
1989,London,United Kingdom,10.76
1990,London,United Kingdom,10.94
1991,London,United Kingdom,9.67
1992,London,United Kingdom,10.15
1993,London,United Kingdom,9.69
1994,London,United Kingdom,10.48
1995,London,United Kingdom,10.55
1996,London,United Kingdom,9.27
1997,London,United Kingdom,10.64
1998,London,United Kingdom,10.40
1999,London,United Kingdom,10.86
2000,London,United Kingdom,10.52
2001,London,United Kingdom,10.18
2002,London,United Kingdom,10.91
2003,London,United Kingdom,10.81
2004,London,United Kingdom,10.77
2005,London,United Kingdom,10.63
2006,London,United Kingdom,11.10
2007,London,United Kingdom,10.83
2008,London,United Kingdom,10.38
2009,London,United Kingdom,10.52
2010,London,United Kingdom,9.38
2011,London,United Kingdom,11.19
2012,London,United Kingdom,10.00
2013,London,United Kingdom,9.91
